REP,LIDER,EQUIPE,OFFICE,CANAL,EXCL_REP_ME,EXCL_REP
ext_apallais,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,16,2
ext_ericsi,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_fepaana,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_gabrielk,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,2
ext_gioalenc,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,38,9
ext_igcanind,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,1,16
ext_louleand,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_marinisa,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,3
ext_pamandre,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,2
ext_pedpesso,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,12
ext_rapemari,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,4,7
ext_taininac,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,4,8
ext_tayluz,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,6
ext_vicecili,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,3
ext_violivem,ext_antjunio,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,1,0
ext_gabrielk,ext_joallef,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_alsmicha,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,1,0
ext_clarvale,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,1,6
ext_ewegomes,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_feaevell,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_gellima,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,3
ext_juabrasi,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,2,2
ext_karolacu,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,4
ext_luandram,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,3
ext_sidimigu,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,1
ext_thdiomed,ext_julchris,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,4
ext_clebribe,ext_lathamir,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,0,4
ext_dailandr,ext_lathamir,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,4,4
ext_emikarol,ext_lathamir,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,1,1
ext_enjoice,ext_lathamir,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,8,1
ext_fepaana,ext_lathamir,BR_ME_Sellers_Longtail,AEC,MULTICANAL C2C,21,12
