CUS_CUST_ID,semana,processo,cdu,solucao,qtd
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Devoluciones,"Devoluciones - Recibió devolución fallida, guiamos a cómo reclamar",7
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Costos de devolución,Costos -  No cobramos costo de envío en esta devolución,5
14937436,Pre_01-16Mar,Reversa,Generales,Pedido de datos - Solicitamos datos para gestión,4
14937436,Pre_01-16Mar,Emision de Nota Fiscal,Restricción fiscal,Facturador: General - Pedimos datos,4
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Devoluciones,Devoluciones: Dudas Reversa: Número de devolución -  Debe esperar a que se genere (V),2
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),2
14937436,Pre_01-16Mar,Facturación,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),2
14937436,Pre_01-16Mar,Gestiones Operativas,Colecta,Colecta: todo sobre el servicio,1
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Cambios,Cambios: qué es y cómo funciona un cambio,1
14937436,Pre_01-16Mar,Facturación,Dudas sobre Deuda /Débito (Automático o forzado),Facturación - Deuda o débito,1
14937436,Pre_01-16Mar,Facturación,Bugs,Pedido de datos - Solicitamos datos para gestión,1
14937436,Pre_01-16Mar,Facturación,Dudas sobre cargos facturados,Facturación - Cargos por venta,1
14937436,Pre_01-16Mar,Facturación,Bugs,(sem solucao),1
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Reclamo abierto,Reclamo abierto - Dudas sobre la devolución,1
14937436,Pre_01-16Mar,Post Compra Funcionalidades Vendedor,Devoluciones,"Devoluciones - no recibió el paquete, puede iniciar mediación",1
14937436,Pre_01-16Mar,Facturación,Generales,Pedido de datos - Solicitamos datos para gestión,1
14937436,S1_17-23Mar,Post Compra Funcionalidades Vendedor,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),6
14937436,S1_17-23Mar,Post Compra Funcionalidades Vendedor,Devoluciones,"Devoluciones - Recibió devolución fallida, guiamos a cómo reclamar",4
14937436,S1_17-23Mar,Reputación,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),3
14937436,S1_17-23Mar,Post Compra Funcionalidades Vendedor,Costos de devolución,Costos -  No cobramos costo de envío en esta devolución,3
