dim,driver,val,p,d,s
C,CBT,MULTICANAL CHAT,327,50,383
O,CBT,ONELINK_MEDELLIN,310,49,365
O,CBT,TESLA,17,1,18
C,Experiencia Impositiva Mature,MULTICANAL CHAT,24,4,32
C,Experiencia Impositiva Mature,MULTICANAL C2C,2,2,5
C,Experiencia Impositiva Mature,(sem canal),0,1,1
O,Experiencia Impositiva Mature,AEC,24,4,32
O,Experiencia Impositiva Mature,KTA_BRASIL,2,2,4
O,Experiencia Impositiva Mature,(sem office),0,1,1
O,Experiencia Impositiva Mature,CTX,0,0,1
C,Experiencia Impositiva Meli Pro,MULTICANAL C2C,2,1,4
C,Experiencia Impositiva Meli Pro,MULTICANAL CHAT,11,1,13
O,Experiencia Impositiva Meli Pro,CTX,0,1,2
O,Experiencia Impositiva Meli Pro,AEC,11,1,13
O,Experiencia Impositiva Meli Pro,KTA_BRASIL,2,0,2
C,Experiencia Impositiva Seller Dev,MULTICANAL C2C,85,63,156
C,Experiencia Impositiva Seller Dev,MULTICANAL CHAT,297,43,386
C,Experiencia Impositiva Seller Dev,(sem canal),0,2,2
O,Experiencia Impositiva Seller Dev,KTA_BRASIL,43,53,103
O,Experiencia Impositiva Seller Dev,AEC,297,42,385
O,Experiencia Impositiva Seller Dev,CTX,42,11,54
O,Experiencia Impositiva Seller Dev,(sem office),0,2,2
C,FBM-S Mature,MULTICANAL CHAT,70,20,95
C,FBM-S Mature,MULTICANAL C2C,23,7,34
O,FBM-S Mature,ATE,68,16,90
O,FBM-S Mature,MELICIDADE,25,11,39
C,FBM-S Meli Pro,MULTICANAL CHAT,43,6,53
C,FBM-S Meli Pro,MULTICANAL C2C,5,3,9
O,FBM-S Meli Pro,ATE,33,8,44
O,FBM-S Meli Pro,MELICIDADE,15,1,18
C,FBM-S Seller Dev,MULTICANAL CHAT,224,61,317
C,FBM-S Seller Dev,MULTICANAL C2C,84,43,135
C,FBM-S Seller Dev,(sem canal),3,1,5
C,FBM-S Seller Dev,OFFLINE,1,0,1
O,FBM-S Seller Dev,ATE,235,86,357
O,FBM-S Seller Dev,MELICIDADE,73,18,95
O,FBM-S Seller Dev,(sem office),3,1,5
O,FBM-S Seller Dev,ONELINK_BOGOTA,1,0,1
C,ME Vendedor Mature,MULTICANAL CHAT,852,162,1090
C,ME Vendedor Mature,MULTICANAL C2C,96,36,140
C,ME Vendedor Mature,CHAT,2,0,2
C,ME Vendedor Mature,OFFLINE,2,0,2
O,ME Vendedor Mature,MELICIDADE,604,128,786
O,ME Vendedor Mature,ATE,110,36,156
O,ME Vendedor Mature,KTA_BRASIL,102,20,132
O,ME Vendedor Mature,CTX,30,8,42
O,ME Vendedor Mature,AEC,106,6,118
C,ME Vendedor Meli Pro,MULTICANAL CHAT,274,21,307
C,ME Vendedor Meli Pro,MULTICANAL C2C,11,4,15
O,ME Vendedor Meli Pro,MELICIDADE,254,23,288
O,ME Vendedor Meli Pro,CTX,0,1,1
O,ME Vendedor Meli Pro,AEC,12,1,13
O,ME Vendedor Meli Pro,ATE,11,0,12
O,ME Vendedor Meli Pro,KTA_BRASIL,8,0,8
C,ME Vendedor Seller Dev,MULTICANAL CHAT,4060,506,5034
C,ME Vendedor Seller Dev,MULTICANAL C2C,860,188,1136
C,ME Vendedor Seller Dev,(sem canal),2,10,12
C,ME Vendedor Seller Dev,CHAT,10,2,14
O,ME Vendedor Seller Dev,ATE,1988,312,2574
O,ME Vendedor Seller Dev,KTA_BRASIL,1322,232,1712
O,ME Vendedor Seller Dev,AEC,1138,78,1292
O,ME Vendedor Seller Dev,CTX,472,72,594
