Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (5s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (6s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (7s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (7s) Current status: DONE   
dim,driver,val,p,d,s
C,CBT,MULTICANAL CHAT,323,58,395
O,CBT,ONELINK_MEDELLIN,285,55,354
O,CBT,TESLA,38,3,41
C,Experiencia Impositiva Mature,MULTICANAL CHAT,39,16,60
C,Experiencia Impositiva Mature,MULTICANAL C2C,5,4,11
C,Experiencia Impositiva Mature,(sem canal),1,0,1
O,Experiencia Impositiva Mature,AEC,39,16,60
O,Experiencia Impositiva Mature,CTX,3,2,6
O,Experiencia Impositiva Mature,KTA_BRASIL,2,2,5
O,Experiencia Impositiva Mature,(sem office),1,0,1
C,Experiencia Impositiva Meli Pro,MULTICANAL CHAT,8,3,12
C,Experiencia Impositiva Meli Pro,MULTICANAL C2C,0,1,1
O,Experiencia Impositiva Meli Pro,AEC,7,3,11
O,Experiencia Impositiva Meli Pro,CTX,0,1,1
O,Experiencia Impositiva Meli Pro,MELICIDADE,1,0,1
C,Experiencia Impositiva Seller Dev,MULTICANAL CHAT,252,70,361
C,Experiencia Impositiva Seller Dev,MULTICANAL C2C,59,36,105
C,Experiencia Impositiva Seller Dev,(sem canal),0,2,2
C,Experiencia Impositiva Seller Dev,OFFLINE,1,0,1
O,Experiencia Impositiva Seller Dev,AEC,252,68,359
O,Experiencia Impositiva Seller Dev,KTA_BRASIL,23,20,48
O,Experiencia Impositiva Seller Dev,CTX,36,16,57
O,Experiencia Impositiva Seller Dev,MELICIDADE,1,2,3
O,Experiencia Impositiva Seller Dev,(sem office),0,2,2
C,FBM-S Mature,MULTICANAL CHAT,109,31,163
C,FBM-S Mature,MULTICANAL C2C,21,13,39
C,FBM-S Mature,(sem canal),0,1,1
O,FBM-S Mature,ATE,94,36,154
O,FBM-S Mature,MELICIDADE,36,8,48
O,FBM-S Mature,(sem office),0,1,1
C,FBM-S Meli Pro,MULTICANAL CHAT,11,6,19
C,FBM-S Meli Pro,MULTICANAL C2C,0,2,3
O,FBM-S Meli Pro,MELICIDADE,3,4,8
O,FBM-S Meli Pro,ATE,8,4,14
C,FBM-S Seller Dev,MULTICANAL CHAT,261,72,368
C,FBM-S Seller Dev,MULTICANAL C2C,79,52,147
C,FBM-S Seller Dev,(sem canal),6,1,8
C,FBM-S Seller Dev,OFFLINE,1,0,1
O,FBM-S Seller Dev,ATE,252,89,383
O,FBM-S Seller Dev,MELICIDADE,89,35,133
O,FBM-S Seller Dev,(sem office),6,1,8
C,ME Vendedor Mature,MULTICANAL CHAT,1428,280,1944
C,ME Vendedor Mature,MULTICANAL C2C,184,34,234
C,ME Vendedor Mature,OFFLINE,2,0,2
