dim,driver,val,p,d,s
P,CBT,CBT - ME Reputation,139,2,141
P,CBT,CBT - Reputation,97,22,123
P,CBT,CBT - Package journey,30,4,34
P,CBT,CBT - Moderations,16,3,21
P,CBT,CBT - Reverse,8,9,17
P,CBT,"CBT - Dispatch, Sales and Listings",15,2,17
P,CBT,CBT - Publication Management,7,2,9
P,CBT,CBT - Boosters,7,1,8
P,CBT,CBT - Operational Management,5,3,8
P,CBT,CBT - Billing,3,2,5
P,Experiencia Impositiva Mature,Emision de Nota Fiscal,20,6,30
P,Experiencia Impositiva Mature,Facturaci�n,5,1,6
P,Experiencia Impositiva Mature,Datos fiscales,1,0,2
P,Experiencia Impositiva Meli Pro,Emision de Nota Fiscal,7,1,9
P,Experiencia Impositiva Meli Pro,Facturaci�n,6,1,8
P,Experiencia Impositiva Seller Dev,Emision de Nota Fiscal,227,60,316
P,Experiencia Impositiva Seller Dev,Facturaci�n,120,41,181
P,Experiencia Impositiva Seller Dev,Datos fiscales,35,7,47
P,FBM-S Mature,FBM - Pre Inbound,33,9,47
P,FBM-S Mature,FBM - Inventario,18,9,29
P,FBM-S Mature,FBM - Retiro de Stock - Cx One,17,4,23
P,FBM-S Mature,FBM - Post Inbound,16,5,21
P,FBM-S Mature,FBM - Funcionalidades,5,0,5
P,FBM-S Mature,FBM - Devoluciones,4,0,4
P,FBM-S Meli Pro,FBM - Inventario,13,3,17
P,FBM-S Meli Pro,FBM - Pre Inbound,13,1,15
P,FBM-S Meli Pro,FBM - Devoluciones,6,3,10
P,FBM-S Meli Pro,FBM - Retiro de Stock - Cx One,8,1,10
P,FBM-S Meli Pro,FBM - Post Inbound,3,1,5
P,FBM-S Meli Pro,FBM - Funcionalidades,3,0,3
P,FBM-S Meli Pro,FBM - Outbound,2,0,2
P,FBM-S Seller Dev,FBM - Pre Inbound,125,46,184
P,FBM-S Seller Dev,FBM - Inventario,58,23,90
P,FBM-S Seller Dev,FBM - Post Inbound,61,17,85
P,FBM-S Seller Dev,FBM - Retiro de Stock - Cx One,34,7,47
P,FBM-S Seller Dev,FBM - Funcionalidades,21,8,32
P,FBM-S Seller Dev,FBM - Devoluciones,9,3,14
P,FBM-S Seller Dev,FBM - Outbound,3,1,5
P,FBM-S Seller Dev,Asignaci�n del Cont�ctanos FBM,1,0,1
P,ME Vendedor Mature,Reputaci�n ME,428,74,524
P,ME Vendedor Mature,Despacho Ventas y Publicaciones,244,64,330
P,ME Vendedor Mature,Reversa,128,24,164
P,ME Vendedor Mature,Gestiones Operativas,100,22,140
P,ME Vendedor Mature,Viaje del paquete - Vendedor,50,6,66
P,ME Vendedor Mature,Viaje del paquete - Comprador,2,6,8
P,ME Vendedor Mature,Suspensiones ME,0,2,2
P,ME Vendedor Meli Pro,Reputaci�n ME,104,8,116
P,ME Vendedor Meli Pro,Reversa,61,5,71
P,ME Vendedor Meli Pro,Despacho Ventas y Publicaciones,51,5,56
P,ME Vendedor Meli Pro,Viaje del paquete - Vendedor,47,4,52
P,ME Vendedor Meli Pro,Gestiones Operativas,22,3,27
P,ME Vendedor Seller Dev,Despacho Ventas y Publicaciones,2056,406,2754
P,ME Vendedor Seller Dev,Reputaci�n ME,1962,128,2226
P,ME Vendedor Seller Dev,Gestiones Operativas,384,68,502
P,ME Vendedor Seller Dev,Reversa,324,66,428
P,ME Vendedor Seller Dev,Viaje del paquete - Vendedor,204,38,284
P,ME Vendedor Seller Dev,Suspensiones ME,2,0,2
P,Otros CV,KYC Services,330,16,373
P,Otros CV,Asignaci�n del cont�ctanos Buyers Post,48,24,76
P,Otros CV,Apelaciones retorno buyer XDDS,17,53,74
P,Otros CV,Viaje del paquete - Comprador,51,16,70
P,Otros CV,PNR - OP,18,8,26
P,Otros CV,Reputaci�n ML Masivos,18,3,22
P,Otros CV,Caja vac�a - Flex,11,6,20
P,Otros CV,Post Compra Funcionalidades CBT,16,4,20
P,Otros CV,Problemas de seguridad,7,11,19
P,Otros CV,Problemas con acceso y factores,14,2,17
P,Otros CV,Reputaci�n ME Masivos,6,9,16
P,Otros CV,Apelaciones buyer XDDS,8,7,16
