Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (4s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (5s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (6s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (8s) Current status: RUNNING                                                                                      Waiting on bqjob_r3d6b37d9ef292121_0000019dd4a600a8_1 ... (8s) Current status: DONE   
dim,driver,val,p,d,s
P,CBT,CBT - ME Reputation,33,1,34
P,CBT,CBT - Reputation,23,5,29
P,CBT,CBT - Package journey,8,1,9
P,CBT,CBT - Moderations,3,2,7
P,CBT,CBT - Reverse,3,4,7
P,CBT,"CBT - Dispatch, Sales and Listings",4,1,5
P,CBT,CBT - Boosters,2,0,2
P,CBT,CBT - Billing,0,1,1
P,CBT,CBT - Publication Management,0,1,1
P,CBT,CBT - Operational Management,1,0,1
P,Experiencia Impositiva Mature,Emision de Nota Fiscal,2,0,4
P,Experiencia Impositiva Meli Pro,Facturación,2,0,2
P,Experiencia Impositiva Meli Pro,Emision de Nota Fiscal,1,0,1
P,Experiencia Impositiva Seller Dev,Emision de Nota Fiscal,31,14,49
P,Experiencia Impositiva Seller Dev,Facturación,19,9,31
P,Experiencia Impositiva Seller Dev,Datos fiscales,7,0,8
P,FBM-S Mature,FBM - Post Inbound,6,0,6
P,FBM-S Mature,FBM - Pre Inbound,3,2,5
P,FBM-S Mature,FBM - Retiro de Stock - Cx One,4,0,4
P,FBM-S Mature,FBM - Inventario,2,2,4
P,FBM-S Mature,FBM - Funcionalidades,1,0,1
P,FBM-S Mature,FBM - Devoluciones,1,0,1
P,FBM-S Meli Pro,FBM - Pre Inbound,5,0,5
P,FBM-S Meli Pro,FBM - Retiro de Stock - Cx One,4,0,4
P,FBM-S Meli Pro,FBM - Devoluciones,3,0,4
P,FBM-S Meli Pro,FBM - Inventario,2,0,3
P,FBM-S Meli Pro,FBM - Post Inbound,1,0,2
