dim,driver,val,p,d,s
P,CBT,CBT - ME Reputation,41,1,42
P,CBT,CBT - Reputation,23,8,31
P,CBT,CBT - Package journey,6,2,8
P,CBT,CBT - Moderations,5,0,5
P,CBT,"CBT - Dispatch, Sales and Listings",5,0,5
P,CBT,CBT - Boosters,3,1,4
P,CBT,CBT - Operational Management,1,2,3
P,CBT,CBT - Billing,1,1,2
P,CBT,CBT - Reverse,1,0,1
P,CBT,CBT - Publication Management,1,0,1
P,Experiencia Impositiva Mature,Emision de Nota Fiscal,5,2,7
P,Experiencia Impositiva Mature,Facturación,1,0,1
P,Experiencia Impositiva Meli Pro,Emision de Nota Fiscal,1,1,3
P,Experiencia Impositiva Meli Pro,Facturación,1,0,1
P,Experiencia Impositiva Seller Dev,Emision de Nota Fiscal,61,19,88
P,Experiencia Impositiva Seller Dev,Facturación,39,12,58
P,Experiencia Impositiva Seller Dev,Datos fiscales,12,2,14
P,FBM-S Mature,FBM - Pre Inbound,9,2,12
P,FBM-S Mature,FBM - Inventario,4,2,6
P,FBM-S Mature,FBM - Retiro de Stock - Cx One,4,0,5
P,FBM-S Mature,FBM - Funcionalidades,3,0,3
P,FBM-S Mature,FBM - Post Inbound,2,0,2
P,FBM-S Mature,FBM - Devoluciones,1,0,1
P,FBM-S Meli Pro,FBM - Inventario,8,1,9
P,FBM-S Meli Pro,FBM - Retiro de Stock - Cx One,3,1,4
P,FBM-S Meli Pro,FBM - Devoluciones,0,2,2
P,FBM-S Meli Pro,FBM - Post Inbound,1,1,2
P,FBM-S Meli Pro,FBM - Pre Inbound,1,1,2
P,FBM-S Meli Pro,FBM - Funcionalidades,1,0,1
P,FBM-S Seller Dev,FBM - Pre Inbound,25,10,38
P,FBM-S Seller Dev,FBM - Post Inbound,18,4,24
P,FBM-S Seller Dev,FBM - Inventario,13,3,19
P,FBM-S Seller Dev,FBM - Retiro de Stock - Cx One,5,4,9
P,FBM-S Seller Dev,FBM - Devoluciones,4,1,5
P,FBM-S Seller Dev,FBM - Funcionalidades,1,1,3
P,FBM-S Seller Dev,FBM - Outbound,2,1,3
P,ME Vendedor Mature,Reputación ME,94,16,112
P,ME Vendedor Mature,Despacho Ventas y Publicaciones,56,12,72
P,ME Vendedor Mature,Gestiones Operativas,32,6,46
P,ME Vendedor Mature,Reversa,28,8,40
P,ME Vendedor Mature,Viaje del paquete - Vendedor,12,0,14
P,ME Vendedor Mature,Viaje del paquete - Comprador,0,2,2
P,ME Vendedor Meli Pro,Reputación ME,26,1,29
P,ME Vendedor Meli Pro,Reversa,20,1,22
P,ME Vendedor Meli Pro,Viaje del paquete - Vendedor,15,1,16
P,ME Vendedor Meli Pro,Despacho Ventas y Publicaciones,8,1,9
P,ME Vendedor Meli Pro,Gestiones Operativas,7,0,7
P,ME Vendedor Seller Dev,Despacho Ventas y Publicaciones,476,90,654
P,ME Vendedor Seller Dev,Reputación ME,454,26,516
P,ME Vendedor Seller Dev,Gestiones Operativas,96,26,132
P,ME Vendedor Seller Dev,Reversa,78,28,114
P,ME Vendedor Seller Dev,Viaje del paquete - Vendedor,50,8,66
P,Otros CV,KYC Services,83,4,93
P,Otros CV,Viaje del paquete - Comprador,12,7,20
P,Otros CV,Apelaciones retorno buyer XDDS,5,11,18
P,Otros CV,Asignación del contáctanos Buyers Post,3,3,9
P,Otros CV,Problemas con acceso y factores,5,0,6
P,Otros CV,Post Compra Funcionalidades CBT,4,2,6
P,Otros CV,Problemas de seguridad,2,4,6
P,Otros CV,Reputación ML Masivos,3,1,5
P,Otros CV,Viaje del paquete - Vendedor,2,2,4
P,Otros CV,Apelaciones buyer XDDS,2,2,4
P,Otros CV,Configuración de la cuenta,2,1,3
P,Otros CV,PNR - OP,3,0,3
P,Otros CV,Caja vacía - Flex,3,0,3
P,Otros CV,Restricciones,3,0,3
P,Otros CV,Reputación ME Masivos,2,1,3
P,Otros CV,KYC seg360,3,0,3
P,Otros CV,Caja vacía - MP,1,2,3
P,Otros CV,CBT - Intellectual Property,2,1,3
P,Otros CV,Problemas con pagos - Cards,2,1,3
P,Otros CV,Seguros transaccional - Payers,1,1,2
P,Otros CV,Tarjetas de crédito - Solicitud y Límites,2,0,2
P,Otros CV,CBT - Prohibited technique,2,0,2
P,Otros CV,MED - Cambios FBM,1,1,2
P,Otros CV,Datos fiscales,0,2,2
P,Otros CV,CBT - Prohibited items,2,0,2
P,Otros CV,PCF Vendedor - Masivo,0,2,2
P,Otros CV,Reservas,1,0,1
P,Otros CV,FBM - Inventario - Masivo,0,0,1
P,Otros CV,Guardia Urbana,1,0,1
