Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (0s) Current status: PENDING                                                                                      Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (1s) Current status: DONE   
dim,driver,val,p,d,s
C,CBT,MULTICANAL CHAT,87,15,102
O,CBT,ONELINK_MEDELLIN,81,15,96
O,CBT,TESLA,6,0,6
C,Experiencia Impositiva Mature,(sem canal),0,1,1
C,Experiencia Impositiva Mature,MULTICANAL CHAT,5,1,6
C,Experiencia Impositiva Mature,MULTICANAL C2C,1,0,1
O,Experiencia Impositiva Mature,(sem office),0,1,1
O,Experiencia Impositiva Mature,AEC,5,1,6
O,Experiencia Impositiva Mature,KTA_BRASIL,1,0,1
C,Experiencia Impositiva Meli Pro,MULTICANAL C2C,1,1,3
C,Experiencia Impositiva Meli Pro,MULTICANAL CHAT,1,0,1
O,Experiencia Impositiva Meli Pro,CTX,0,1,2
O,Experiencia Impositiva Meli Pro,AEC,1,0,1
O,Experiencia Impositiva Meli Pro,KTA_BRASIL,1,0,1
C,Experiencia Impositiva Seller Dev,MULTICANAL C2C,31,17,49
C,Experiencia Impositiva Seller Dev,MULTICANAL CHAT,81,15,110
C,Experiencia Impositiva Seller Dev,(sem canal),0,1,1
O,Experiencia Impositiva Seller Dev,AEC,81,15,110
O,Experiencia Impositiva Seller Dev,KTA_BRASIL,14,15,30
O,Experiencia Impositiva Seller Dev,CTX,17,2,19
O,Experiencia Impositiva Seller Dev,(sem office),0,1,1
C,FBM-S Mature,MULTICANAL CHAT,20,4,26
C,FBM-S Mature,MULTICANAL C2C,3,0,3
O,FBM-S Mature,ATE,18,3,22
O,FBM-S Mature,MELICIDADE,5,1,7
C,FBM-S Meli Pro,MULTICANAL CHAT,13,5,18
C,FBM-S Meli Pro,MULTICANAL C2C,1,1,2
O,FBM-S Meli Pro,ATE,9,6,15
O,FBM-S Meli Pro,MELICIDADE,5,0,5
C,FBM-S Seller Dev,MULTICANAL CHAT,49,17,73
C,FBM-S Seller Dev,MULTICANAL C2C,18,6,25
C,FBM-S Seller Dev,(sem canal),1,1,3
O,FBM-S Seller Dev,ATE,52,17,75
O,FBM-S Seller Dev,MELICIDADE,15,6,23
O,FBM-S Seller Dev,(sem office),1,1,3
C,ME Vendedor Mature,MULTICANAL CHAT,198,34,250
C,ME Vendedor Mature,MULTICANAL C2C,22,10,34
C,ME Vendedor Mature,CHAT,2,0,2
O,ME Vendedor Mature,MELICIDADE,158,32,202
O,ME Vendedor Mature,ATE,22,8,34
O,ME Vendedor Mature,AEC,20,2,22
O,ME Vendedor Mature,KTA_BRASIL,20,2,26
O,ME Vendedor Mature,CTX,2,0,2
C,ME Vendedor Meli Pro,MULTICANAL CHAT,73,4,80
C,ME Vendedor Meli Pro,MULTICANAL C2C,3,0,3
O,ME Vendedor Meli Pro,MELICIDADE,68,4,75
O,ME Vendedor Meli Pro,KTA_BRASIL,2,0,2
O,ME Vendedor Meli Pro,ATE,4,0,4
O,ME Vendedor Meli Pro,AEC,2,0,2
